Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death
2020-01-30,Kerala,1,0,0,0
2020-03-02,Delhi,1,0,0,0
2020-03-02,Telengana,1,0,0,0
2020-03-03,Delhi,1,0,0,0
2020-03-03,Kerala,3,0,3,0
2020-03-03,Rajasthan,0,0,0,0
2020-03-03,Telengana,1,0,0,0
2020-03-04,Delhi,1,0,0,0
2020-03-04,Haryana,0,14,0,0
2020-03-04,Kerala,3,0,3,0
2020-03-04,Rajasthan,1,0,0,0
2020-03-04,Telengana,1,0,0,0
2020-03-04,Uttar Pradesh,6,0,0,0
2020-03-05,Delhi,2,0,0,0
2020-03-05,Haryana,0,14,0,0
2020-03-05,Kerala,3,0,3,0
2020-03-05,Rajasthan,1,0,0,0
2020-03-05,Telengana,1,0,0,0
2020-03-05,Uttar Pradesh,7,0,0,0
2020-03-06,Delhi,3,0,0,0
2020-03-06,Haryana,0,14,0,0
2020-03-06,Kerala,3,0,3,0
2020-03-06,Rajasthan,1,0,0,0
2020-03-06,Telengana,1,0,0,0
2020-03-06,Uttar Pradesh,7,0,0,0
2020-03-07,Delhi,3,0,0,0
2020-03-07,Haryana,0,14,0,0
2020-03-07,Kerala,3,0,3,0
2020-03-07,Rajasthan,1,0,0,0
2020-03-07,Tamil Nadu,1,0,0,0
2020-03-07,Telengana,1,0,0,0
2020-03-07,Union Territory of Ladakh,2,0,0,0
2020-03-07,Uttar Pradesh,7,0,0,0
2020-03-08,Delhi,3,0,0,0
2020-03-08,Haryana,0,14,0,0
2020-03-08,Kerala,8,0,3,0
2020-03-08,Rajasthan,1,0,0,0
2020-03-08,Tamil Nadu,1,0,0,0
2020-03-08,Telengana,1,0,0,0
2020-03-08,Union Territory of Ladakh,2,0,0,0
2020-03-08,Uttar Pradesh,7,0,0,0
2020-03-09,Delhi,4,0,0,0
2020-03-09,Haryana,0,14,0,0
2020-03-09,Karnataka,1,0,0,0
2020-03-09,Kerala,9,0,3,0
2020-03-09,Maharashtra,2,0,0,0
2020-03-09,Punjab,1,0,0,0
2020-03-09,Rajasthan,1,0,0,0
2020-03-09,Tamil Nadu,1,0,0,0
2020-03-09,Telengana,1,0,0,0
2020-03-09,Union Territory of Jammu and Kashmir,1,0,0,0
2020-03-09,Union Territory of Ladakh,2,0,0,0
2020-03-09,Uttar Pradesh,7,0,0,0
2020-03-10,Delhi,4,0,0,0
2020-03-10,Haryana,0,14,0,0
2020-03-10,Karnataka,4,0,0,0
2020-03-10,Kerala,15,0,3,0
2020-03-10,Maharashtra,5,0,0,0
2020-03-10,Punjab,1,0,0,0
2020-03-10,Rajasthan,1,0,0,0
2020-03-10,Tamil Nadu,1,0,0,0
2020-03-10,Telengana,1,0,0,0
2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,0
2020-03-10,Union Territory of Ladakh,2,0,0,0
2020-03-10,Uttar Pradesh,7,0,0,0
2020-03-11,Delhi,5,0,0,0
2020-03-11,Haryana,0,14,0,0
2020-03-11,Karnataka,4,0,0,0
2020-03-11,Kerala,17,0,3,0
2020-03-11,Maharashtra,10,0,0,0
2020-03-11,Punjab,1,0,0,0
2020-03-11,Rajasthan,1,2,0,0
2020-03-11,Tamil Nadu,1,0,0,0
2020-03-11,Telengana,1,0,0,0
2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,0
2020-03-11,Union Territory of Ladakh,2,0,0,0
2020-03-11,Uttar Pradesh,9,0,0,0
2020-03-12,Andhra Pradesh,1,0,0,0
2020-03-12,Delhi,6,0,0,0
2020-03-12,Haryana,0,14,0,0
2020-03-12,Karnataka,4,0,0,1
2020-03-12,Kerala,17,0,3,0
2020-03-12,Maharashtra,11,0,0,0
2020-03-12,Punjab,1,0,0,0
2020-03-12,Rajasthan,1,2,0,0
2020-03-12,Tamil Nadu,1,0,0,0
2020-03-12,Telengana,1,0,0,0
2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,0
2020-03-12,Union Territory of Ladakh,3,0,0,0
2020-03-12,Uttar Pradesh,10,1,0,0
2020-03-13,Andhra Pradesh,1,0,0,0
2020-03-13,Delhi,6,0,0,0
2020-03-13,Haryana,0,14,0,0
2020-03-13,Karnataka,5,0,0,1
2020-03-13,Kerala,17,0,3,0
2020-03-13,Maharashtra,11,0,0,0
2020-03-13,Punjab,1,0,0,0
2020-03-13,Rajasthan,1,2,0,0
2020-03-13,Tamil Nadu,1,0,0,0
2020-03-13,Telengana,1,0,0,0
2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,0
2020-03-13,Union Territory of Ladakh,3,0,0,0
2020-03-13,Uttar Pradesh,10,1,0,0
2020-03-14,Andhra Pradesh,1,0,0,0
2020-03-14,Delhi,7,0,1,1
2020-03-14,Haryana,0,14,0,0
2020-03-14,Karnataka,6,0,0,1
2020-03-14,Kerala,19,0,3,0
2020-03-14,Maharashtra,14,0,0,0
2020-03-14,Punjab,1,0,0,0
2020-03-14,Rajasthan,1,2,1,0
2020-03-14,Tamil Nadu,1,0,0,0
2020-03-14,Telengana,1,0,0,0
2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,0
2020-03-14,Union Territory of Ladakh,3,0,0,0
2020-03-14,Uttar Pradesh,11,1,5,0
2020-03-15,Andhra Pradesh,1,0,0,0
2020-03-15,Delhi,7,0,2,1
2020-03-15,Haryana,0,14,0,0
2020-03-15,Karnataka,6,0,0,1
2020-03-15,Kerala,23,0,3,0
2020-03-15,Maharashtra,32,0,0,0
2020-03-15,Punjab,1,0,0,0
2020-03-15,Rajasthan,2,2,3,0
2020-03-15,Tamil Nadu,1,0,0,0
2020-03-15,Telengana,3,0,1,0
2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,0
2020-03-15,Union Territory of Ladakh,3,0,0,0
2020-03-15,Uttar Pradesh,12,1,4,0
2020-03-15,Uttarakhand,1,0,0,0
2020-03-16,Andhra Pradesh,1,0,0,0
2020-03-16,Delhi,7,0,2,1
2020-03-16,Haryana,0,14,0,0
2020-03-16,Karnataka,6,0,0,1
2020-03-16,Kerala,23,0,3,0
2020-03-16,Maharashtra,32,0,0,0
2020-03-16,Odisha,1,0,0,0
2020-03-16,Punjab,1,0,0,0
2020-03-16,Rajasthan,2,2,3,0
