Province/State,Country/Region,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020
Andaman and Nicobar Islands,India,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,4,7,4,0,0,0,0,0,0
Andhra Pradesh,India,1,0,0,0,0,2,0,2,1,1,1,2,1,2,6,2,2,21,67,38,15,28,60,51,11,34,15,18,24,15,19,45,41,9,38,31,44,75,35,56,80,62,61,81,80,82,73,71,60
Arunachal Pradesh,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,7,3,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0
Bihar,India,0,0,0,0,0,0,0,0,2,1,0,1,3,2,2,4,0,6,3,5,2,1,0,0,6,1,19,2,4,0,2,0,6,11,2,1,10,17,13,17,27,53,28,26,69,20,37,22,41
Chandigarh,India,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,5,2,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,3,0,1,0,0,0,1,8,9,11,12,6,14
Chhattisgarh,India,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,8,0,7,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3
Daman and Diu,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,India,7,0,0,1,2,4,6,7,0,3,0,5,1,4,9,23,25,23,32,141,93,59,58,22,51,93,51,183,166,85,356,51,17,62,67,186,110,78,75,92,128,138,111,293,190,206,125,76,223
Dadra and Nagar Haveli,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
