Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,Kerala,India,2020-01-30,1,0
2,Kerala,India,2020-01-31,1,0
3,Kerala,India,2020-02-01,2,0
4,Kerala,India,2020-02-02,3,0
5,Kerala,India,2020-02-03,3,0
6,Kerala,India,2020-02-04,3,0
7,Kerala,India,2020-02-05,3,0
8,Kerala,India,2020-02-06,3,0
9,Kerala,India,2020-02-07,3,0
10,Kerala,India,2020-02-08,3,0
11,Kerala,India,2020-02-09,3,0
12,Kerala,India,2020-02-10,3,0
13,Kerala,India,2020-02-11,3,0
14,Kerala,India,2020-02-12,3,0
15,Kerala,India,2020-02-13,3,0
16,Kerala,India,2020-02-14,3,0
17,Kerala,India,2020-02-15,3,0
18,Kerala,India,2020-02-16,3,0
19,Kerala,India,2020-02-17,3,0
20,Kerala,India,2020-02-18,3,0
21,Kerala,India,2020-02-19,3,0
22,Kerala,India,2020-02-20,3,0
23,Kerala,India,2020-02-21,3,0
24,Kerala,India,2020-02-22,3,0
25,Kerala,India,2020-02-23,3,0
26,Kerala,India,2020-02-24,3,0
27,Kerala,India,2020-02-25,3,0
28,Kerala,India,2020-02-26,3,0
29,Kerala,India,2020-02-27,3,0
30,Kerala,India,2020-02-28,3,0
31,Kerala,India,2020-02-29,3,0
32,Kerala,India,2020-03-01,3,0
33,Delhi,India,2020-03-02,1,0
34,Kerala,India,2020-03-02,3,0
35,Telengana,India,2020-03-02,1,0
36,Delhi,India,2020-03-03,1,0
37,Kerala,India,2020-03-03,3,0
38,Rajasthan,India,2020-03-03,0,0
39,Telengana,India,2020-03-03,1,0
40,Delhi,India,2020-03-04,1,0
41,Haryana,India,2020-03-04,14,0
42,Kerala,India,2020-03-04,3,0
43,Rajasthan,India,2020-03-04,1,0
44,Telengana,India,2020-03-04,1,0
45,Uttar Pradesh,India,2020-03-04,6,0
46,Delhi,India,2020-03-05,2,0
47,Haryana,India,2020-03-05,14,0
48,Kerala,India,2020-03-05,3,0
49,Rajasthan,India,2020-03-05,1,0
50,Telengana,India,2020-03-05,1,0
51,Uttar Pradesh,India,2020-03-05,7,0
52,Delhi,India,2020-03-06,3,0
53,Haryana,India,2020-03-06,14,0
54,Kerala,India,2020-03-06,3,0
55,Rajasthan,India,2020-03-06,1,0
56,Telengana,India,2020-03-06,1,0
57,Uttar Pradesh,India,2020-03-06,7,0
58,Delhi,India,2020-03-07,3,0
59,Haryana,India,2020-03-07,14,0
60,Kerala,India,2020-03-07,3,0
61,Rajasthan,India,2020-03-07,1,0
62,Tamil Nadu,India,2020-03-07,1,0
63,Telengana,India,2020-03-07,1,0
64,Union Territory of Ladakh,India,2020-03-07,2,0
65,Uttar Pradesh,India,2020-03-07,7,0
66,Delhi,India,2020-03-08,3,0
67,Haryana,India,2020-03-08,14,0
68,Kerala,India,2020-03-08,8,0
69,Rajasthan,India,2020-03-08,1,0
70,Tamil Nadu,India,2020-03-08,1,0
71,Telengana,India,2020-03-08,1,0
72,Union Territory of Ladakh,India,2020-03-08,2,0
73,Uttar Pradesh,India,2020-03-08,7,0
74,Delhi,India,2020-03-09,4,0
75,Haryana,India,2020-03-09,14,0
76,Karnataka,India,2020-03-09,1,0
77,Kerala,India,2020-03-09,9,0
78,Maharashtra,India,2020-03-09,2,0
79,Punjab,India,2020-03-09,1,0
80,Rajasthan,India,2020-03-09,1,0
81,Tamil Nadu,India,2020-03-09,1,0
82,Telengana,India,2020-03-09,1,0
83,Union Territory of Jammu and Kashmir,India,2020-03-09,1,0
84,Union Territory of Ladakh,India,2020-03-09,2,0
85,Uttar Pradesh,India,2020-03-09,7,0
86,Delhi,India,2020-03-10,4,0
87,Haryana,India,2020-03-10,14,0
88,Karnataka,India,2020-03-10,4,0
89,Kerala,India,2020-03-10,15,0
90,Maharashtra,India,2020-03-10,5,0
91,Punjab,India,2020-03-10,1,0
92,Rajasthan,India,2020-03-10,1,0
93,Tamil Nadu,India,2020-03-10,1,0
94,Telengana,India,2020-03-10,1,0
95,Union Territory of Jammu and Kashmir,India,2020-03-10,1,0
96,Union Territory of Ladakh,India,2020-03-10,2,0
97,Uttar Pradesh,India,2020-03-10,7,0
