Date,Total Cases,New Cases,Days after surpassing 100 cases
1/31/2020,2,2,
2/1/2020,2,0,
2/2/2020,2,0,
2/3/2020,2,0,
2/4/2020,2,0,
2/5/2020,2,0,
2/6/2020,3,1,
2/7/2020,3,0,
2/8/2020,3,0,
2/9/2020,3,0,
2/10/2020,3,0,
2/11/2020,3,0,
2/12/2020,3,0,
2/13/2020,3,0,
2/14/2020,3,0,
2/15/2020,3,0,
2/15/2020,3,0,
2/16/2020,3,0,
2/17/2020,3,0,
2/18/2020,3,0,
2/19/2020,3,0,
2/20/2020,3,0,
2/21/2020,20,17,
2/22/2020,79,59,
2/23/2020,157,78,0
2/24/2020,229,72,1
2/25/2020,323,94,2
2/26/2020,470,147,3
2/27/2020,655,185,4
2/28/2020,889,234,5
2/29/2020,1128,239,6
3/1/2020,1701,573,7
3/2/2020,2036,335,8
3/3/2020,2502,466,9
3/4/2020,3089,587,10
3/5/2020,3858,769,11
3/6/2020,4636,778,12
3/7/2020,5883,1247,13
3/8/2020,7375,1492,14
3/9/2020,9172,1797,15
3/10/2020,10149,977,16
3/11/2020,12462,2313,17
3/12/2020,15113,2651,18
3/13/2020,17660,2547,19
3/14/2020,21157,3497,20
3/15/2020,24747,3590,21
3/16/2020,27980,3233,22
3/17/2020,31506,3526,23
3/18/2020,35713,4207,24
3/19/2020,41035,5322,25
3/20/2020,47021,5986,26
3/21/2020,53578,6557,27
3/22/2020,59138,5560,28
3/23/2020,63927,4789,29
3/24/2020,69176,5249,30
3/25/2020,74386,5210,31
3/26/2020,80539,6153,32
3/27/2020,86498,5959,33
3/28/2020,92472,5974,34
3/29/2020,97689,5217,35
3/30/2020,101739,4050,36
3/31/2020,105792,4053,37
4/1/2020,110574,4782,38
4/2/2020,111542,968,39
